song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
They Left Me Standing Outside,https://phineasandferb.fandom.com/wiki/They_Left_Me_Standing_Outside,O.W.C.A. Files,Pop-rock,01:44,NA,NA,NA,Joshua PruettMartin OlsonScott PetersonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsEddie PittmanJohn MathotKim RobersonKazKyle MenkeMike Bell,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2016-01-15,436/437,"A standalone hour-long special focusing on the organization’s best secret agent, Agent P (also known as Perry the Platypus), and his fellow animal agents. When an evil mastermind from Major Monogram’s past, Professor Parenthesis, launches an attack on the O.W.C.A. by incapacitating the animal agents with robotic fleas, only Agent P and his agent trainees can save the day."
Friend Like Mine,https://phineasandferb.fandom.com/wiki/Friend_Like_Mine,O.W.C.A. Files,Pop/Rock,NA,NA,NA,NA,Joshua PruettMartin OlsonScott PetersonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsEddie PittmanJohn MathotKim RobersonKazKyle MenkeMike Bell,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2016-01-15,436/437,"A standalone hour-long special focusing on the organization’s best secret agent, Agent P (also known as Perry the Platypus), and his fellow animal agents. When an evil mastermind from Major Monogram’s past, Professor Parenthesis, launches an attack on the O.W.C.A. by incapacitating the animal agents with robotic fleas, only Agent P and his agent trainees can save the day."
Bits of All of Us,https://phineasandferb.fandom.com/wiki/Bits_of_All_of_Us,O.W.C.A. Files,"Pop-rock, Show Tune, Spoken Word",NA,NA,NA,NA,Joshua PruettMartin OlsonScott PetersonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsEddie PittmanJohn MathotKim RobersonKazKyle MenkeMike Bell,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2016-01-15,436/437,"A standalone hour-long special focusing on the organization’s best secret agent, Agent P (also known as Perry the Platypus), and his fellow animal agents. When an evil mastermind from Major Monogram’s past, Professor Parenthesis, launches an attack on the O.W.C.A. by incapacitating the animal agents with robotic fleas, only Agent P and his agent trainees can save the day."
Chop Away at My Heart,https://phineasandferb.fandom.com/wiki/Chop_Away_at_My_Heart,O.W.C.A. Files,Boy band,2:29,NA,NA,NA,Joshua PruettMartin OlsonScott PetersonAliki Theofilopoulos GrafftBernie PettersonCalvin SuggsEddie PittmanJohn MathotKim RobersonKazKyle MenkeMike Bell,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2016-01-15,436/437,"A standalone hour-long special focusing on the organization’s best secret agent, Agent P (also known as Perry the Platypus), and his fellow animal agents. When an evil mastermind from Major Monogram’s past, Professor Parenthesis, launches an attack on the O.W.C.A. by incapacitating the animal agents with robotic fleas, only Agent P and his agent trainees can save the day."
Lot of Pressure,https://phineasandferb.fandom.com/wiki/Lot_of_Pressure,S'Winter,"Pop, hip-hop",2:48,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
How Do I Do It,https://phineasandferb.fandom.com/wiki/How_Do_I_Do_It%3F,S'Winter,Pop,NA,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
He's Doof,https://phineasandferb.fandom.com/wiki/He%27s_Doof,Phineas and Ferb the Movie: Across the 2nd Dimension,"Patter song, Show tune",00:08 (Movie)00:40 (Demo),NA,NA,NA,"Jon Colton BarryDan PovenmireJeff ""Swampy"" MarshKyle MenkeAliki Theofilopoulos GrafftAntoine GuilbaudBernie PettersonChong Suk LeeChris HeadrickJ.G. OrrantiaKazKim RobersonMichael DiederichSeth KearsleySue PerrottoTom MintonWendy GriebZac Moncrief",Dan PovenmireRobert F. Hughes,2011-08-05,Movie Special,"When Phineas, Ferb, and Perry follow Dr. Doofenshmirtz through his ""Otherdimensionator"", they find themselves in an alternate universe where a second, truly evil Dr. Doof rules over his Tri-State Area with an army of Normbots. To save his friends from certain doom, Perry makes the ultimate sacrifice by revealing his secret identity as Agent P. Phineas and Ferb escape, meet their 2nd dimension selves, and begin their own mission to rescue Perry. As they uncover his plot to travel back to their dimension to take over their Tri-State Area, the gang, as well as their alter-egos, must band together to stop him."
Victory Gum,https://phineasandferb.fandom.com/wiki/Victory_Gum,Phineas and Ferb the Movie: Across the 2nd Dimension,NA,0:01,NA,NA,NA,"Jon Colton BarryDan PovenmireJeff ""Swampy"" MarshKyle MenkeAliki Theofilopoulos GrafftAntoine GuilbaudBernie PettersonChong Suk LeeChris HeadrickJ.G. OrrantiaKazKim RobersonMichael DiederichSeth KearsleySue PerrottoTom MintonWendy GriebZac Moncrief",Dan PovenmireRobert F. Hughes,2011-08-05,Movie Special,"When Phineas, Ferb, and Perry follow Dr. Doofenshmirtz through his ""Otherdimensionator"", they find themselves in an alternate universe where a second, truly evil Dr. Doof rules over his Tri-State Area with an army of Normbots. To save his friends from certain doom, Perry makes the ultimate sacrifice by revealing his secret identity as Agent P. Phineas and Ferb escape, meet their 2nd dimension selves, and begin their own mission to rescue Perry. As they uncover his plot to travel back to their dimension to take over their Tri-State Area, the gang, as well as their alter-egos, must band together to stop him."
I Walk Away,https://phineasandferb.fandom.com/wiki/I_Walk_Away,Moon Farm,"Ballad, pop",0:35,8,151,NA,Jim BernsteinAntoine GuilbaudKaz,Robert F. Hughes,2011-04-29,303b,"Inspired by the lost verse from the nursery rhyme, ""The Cat And The Fiddle"", the boys decide to take some cows to the moon to see if its low gravitational pull actually does produce the best tasting ice cream ever. Back at home, Candace decides to take advantage of the boys being gone and attempts to make a fancy dinner for Jeremy, but her lack of cooking skills don't add anything to the plate. Meanwhile, Dr. Doofenshmirtz attempts to use his 'Moisture Suck-inator' to turn his neighbor's plants brown, so that his plants will be greener by comparison."
Baljeet Explanation,https://phineasandferb.fandom.com/wiki/Baljeet_Explanation,Phineas and Ferb the Movie: Across the 2nd Dimension,Polka,00:09,NA,NA,NA,"Jon Colton BarryDan PovenmireJeff ""Swampy"" MarshKyle MenkeAliki Theofilopoulos GrafftAntoine GuilbaudBernie PettersonChong Suk LeeChris HeadrickJ.G. OrrantiaKazKim RobersonMichael DiederichSeth KearsleySue PerrottoTom MintonWendy GriebZac Moncrief",Dan PovenmireRobert F. Hughes,2011-08-05,Movie Special,"When Phineas, Ferb, and Perry follow Dr. Doofenshmirtz through his ""Otherdimensionator"", they find themselves in an alternate universe where a second, truly evil Dr. Doof rules over his Tri-State Area with an army of Normbots. To save his friends from certain doom, Perry makes the ultimate sacrifice by revealing his secret identity as Agent P. Phineas and Ferb escape, meet their 2nd dimension selves, and begin their own mission to rescue Perry. As they uncover his plot to travel back to their dimension to take over their Tri-State Area, the gang, as well as their alter-egos, must band together to stop him."
Brand New Reality,https://phineasandferb.fandom.com/wiki/Brand_New_Reality,Phineas and Ferb the Movie: Across the 2nd Dimension,"Garage rock, alternative rock",1:27,NA,NA,NA,"Jon Colton BarryDan PovenmireJeff ""Swampy"" MarshKyle MenkeAliki Theofilopoulos GrafftAntoine GuilbaudBernie PettersonChong Suk LeeChris HeadrickJ.G. OrrantiaKazKim RobersonMichael DiederichSeth KearsleySue PerrottoTom MintonWendy GriebZac Moncrief",Dan PovenmireRobert F. Hughes,2011-08-05,Movie Special,"When Phineas, Ferb, and Perry follow Dr. Doofenshmirtz through his ""Otherdimensionator"", they find themselves in an alternate universe where a second, truly evil Dr. Doof rules over his Tri-State Area with an army of Normbots. To save his friends from certain doom, Perry makes the ultimate sacrifice by revealing his secret identity as Agent P. Phineas and Ferb escape, meet their 2nd dimension selves, and begin their own mission to rescue Perry. As they uncover his plot to travel back to their dimension to take over their Tri-State Area, the gang, as well as their alter-egos, must band together to stop him."
Robot Riot,https://phineasandferb.fandom.com/wiki/Robot_Riot,Phineas and Ferb the Movie: Across the 2nd Dimension,Hard Rock,1:56  3:15 (Album),NA,NA,NA,"Jon Colton BarryDan PovenmireJeff ""Swampy"" MarshKyle MenkeAliki Theofilopoulos GrafftAntoine GuilbaudBernie PettersonChong Suk LeeChris HeadrickJ.G. OrrantiaKazKim RobersonMichael DiederichSeth KearsleySue PerrottoTom MintonWendy GriebZac Moncrief",Dan PovenmireRobert F. Hughes,2011-08-05,Movie Special,"When Phineas, Ferb, and Perry follow Dr. Doofenshmirtz through his ""Otherdimensionator"", they find themselves in an alternate universe where a second, truly evil Dr. Doof rules over his Tri-State Area with an army of Normbots. To save his friends from certain doom, Perry makes the ultimate sacrifice by revealing his secret identity as Agent P. Phineas and Ferb escape, meet their 2nd dimension selves, and begin their own mission to rescue Perry. As they uncover his plot to travel back to their dimension to take over their Tri-State Area, the gang, as well as their alter-egos, must band together to stop him."
Takin' Care of Things,https://phineasandferb.fandom.com/wiki/Takin%27_Care_of_Things,Moon Farm,"Calypso, hip-hop, rap, reggae fusion, rock",0:18 (Movie)  0:56 (album),8,151,NA,Jim BernsteinAntoine GuilbaudKaz,Robert F. Hughes,2011-04-29,303b,"Inspired by the lost verse from the nursery rhyme, ""The Cat And The Fiddle"", the boys decide to take some cows to the moon to see if its low gravitational pull actually does produce the best tasting ice cream ever. Back at home, Candace decides to take advantage of the boys being gone and attempts to make a fancy dinner for Jeremy, but her lack of cooking skills don't add anything to the plate. Meanwhile, Dr. Doofenshmirtz attempts to use his 'Moisture Suck-inator' to turn his neighbor's plants brown, so that his plants will be greener by comparison."
Kick It Up A Notch,https://phineasandferb.fandom.com/wiki/Kick_It_Up_A_Notch,Ferb Latin,"Heavy metal, hard rock",2:31 (video)4:05 (album),8,151,NA,Jim BernsteinJon Colton BarryAntoine GuilbaudKaz,Robert F. HughesJay Lender,2011-11-25,316a,"Phineas and Ferb create their own language, Ferb Latin, which quickly catches on. Unfortunately for Candace, she awakes from a massage puzzled to find everyone else speaking a language she doesn't understand. Meanwhile, Dr. Doofenshmirtz decides to use propaganda as his new ""-inator,"" believing that it will work since people will believe anything they read."
Such a Beautiful Day,https://phineasandferb.fandom.com/wiki/Such_a_Beautiful_Day,Thanks But No Thanks,"Bubblegum pop, sunshine pop, hard rock",02:04,8.2,146,NA,Martin OlsonAntoine GuilbaudKaz,"Sue Perrotto""Assistant Director:""Derek Thompson",2013-09-13,413a,"Candace discovers that one of her neighbors has witnessed all Phineas and Ferb inventions made ​​during the summer. Carl wants to get a simple Major Monogram thank you for all you have done, so Monty tries to help. Meanwhile, Dr. Doofenshmirtz creates its ""Inflator-inator"" to try to silence his neighbor who plays the bagpipes every day."
The Universe is Against Me,https://phineasandferb.fandom.com/wiki/The_Universe_is_Against_Me,S'Winter,Rock,02:22,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Meet Our Leader,https://phineasandferb.fandom.com/wiki/Meet_Our_Leader,Doof 101,Showtune,01:10,8.1,152,NA,"Dan PovenmireJeff ""Swampy"" MarshKim RobersonZac Moncrief","Robert F. Hughes""Assistant Director:""Russell Calabrese",2015-02-06,421a,"Dr. Doofenshmirtz is sentenced to community service for being evil and much to his daughter Vanessa’s chagrin, he’s assigned to teach science at her high school. Meanwhile, a trio of bugs embark on a journey to become the first insects to communicate with humans."
Unsung Hero,https://phineasandferb.fandom.com/wiki/Unsung_Hero,S'Winter,Pop ballad,01:10,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Adulting,https://phineasandferb.fandom.com/wiki/Adulting,S'Winter,"Showtune, pop",1:52,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Girls Day Out,https://phineasandferb.fandom.com/wiki/Girls_Day_Out,S'Winter,Pop,01:08,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
This Is Our Battle Song,https://phineasandferb.fandom.com/wiki/This_Is_Our_Battle_Song,S'Winter,March,1:36,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
